LOAN_NUMBER,SAMPLE_DATE,FILE_REQ_DATE,SECOND_REQUEST_DATE,SENT_TO_IMAGING_DATE,LENDER_RESPONSE_DUE_DATE,DATE_LOAN_FINALIZED,LENDER_ID,LENDER_NAME,LENDER_LOAN_ID,PROP_STATE,NEW_CONSTRUCTION_INDICATOR,CONDOMINIUM_INDICATOR,LOAN_ORIG_DATE,CURRENT_BALANCE,FICO_SCORE,LTV,ORIG_VALUE,AVM_VALUE,FIELD_REVIEW_VALUE_SUPPORTED,FIELD_REVIEW_VALUE,PURPOSE_CODE,OCCUPANCY_CODE,LENDER_INST_TYPE_DESCRIPTION,UNDERWRITER_NAME,REVIEW_DATE,REVIEW_STATUS,DEAL_NAME,START_DATE,LOAN_AGE,FICO_BIN,LTV_BIN
22944398,4/19/11,5/2/11,,,,6/10/11,EMTKTB,MSA Mortgage LLC,230249083,MA,No,No,3/7/11,322500,763,94.84999847,340000,,,,R,B,Mortgage Banker - Bank Owned,Allie Martin,5/18/11,4,SEMT 2012-1,6/1/13,26.8424403,"[700.0, 800.0)","(90.0, 95.0]"
26831884,12/20/11,12/29/11,,1/4/12,,1/26/12,QTTDRT,Home Loan Center Inc,3205003,CA,No,No,11/17/11,403700,763,94.98999786,445000,,,,P,B,Mortgage Banker - (Large),Steve Winston,1/17/12,4,WFMBS 2006-5,6/1/13,18.46444486,"[700.0, 800.0)","(90.0, 95.0]"
23675871,11/23/10,1/6/11,,,,3/18/11,PEDYGO,CommunityOne Bank / Dover Mortgage Co.,371559246,NC,No,No,6/18/10,54862,763,95,57749.47,95877,,,P,B,Mortgage Banker - Bank Owned,Steve Winston,1/4/11,4,WFMBS 2006-5,6/1/13,35.45041993,"[700.0, 800.0)","(90.0, 95.0]"
31390926,4/19/11,4/25/11,,5/27/11,,6/21/11,XJXUEH,Sierra Pacific Mortgage Services Inc,1122370548,CT,No,Yes,12/23/10,117420,763,95,125000,,,,P,B,Mortgage Banker - (Large),Steve Winston,6/21/11,4,SEMT 2012-1,6/1/13,29.27370172,"[700.0, 800.0)","(90.0, 95.0]"
30767333,9/21/11,9/28/11,11/4/11,11/8/11,,12/29/11,GZYMDD,Red Canoe Credit Union,33906256,WA,No,No,6/7/11,195700,763,95,206000,,,,P,B,Credit Unions,Allie Martin,12/13/11,4,WFMBS 2006-5,6/1/13,23.81979096,"[700.0, 800.0)","(90.0, 95.0]"
20069692,1/31/13,2/1/13,,,,,IOUKEB,George Mason Mortgage LLC,2117774,VA,No,No,12/7/12,304000,763,95,320000,,,,R,B,Community Banks,,,,SEMT 2012-1,6/1/13,5.782459599,"[700.0, 800.0)","(90.0, 95.0]"
28948835,7/11/12,7/12/12,,7/18/12,,8/6/12,HZSVQD,Perl Mortgage Inc,1170766451,IL,No,No,5/15/12,406125,763,95,428000,,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,8/2/12,4,WFMBS 2006-5,6/1/13,12.55056572,"[700.0, 800.0)","(90.0, 95.0]"
22405862,6/21/11,6/23/11,,7/13/11,,8/8/11,NIOQIC,Tower Federal Credit Union,43507,MD,No,No,3/24/11,326625,764,82.48000336,396000,,,,R,B,Credit Unions,Mike Willams,8/8/11,4,SEMT 2012-1,6/1/13,26.28390727,"[700.0, 800.0)","(0.0, 85.0]"
22009380,11/23/10,1/7/11,,,,1/20/11,WUZVKL,Sterling Savings Bank,115257035,ID,No,No,7/30/10,59000,764,82.51999664,71497.82,65286,,,R,B,Mortgage Banker - Bank Owned,Steve Winston,1/20/11,4,WFMBS 2006-5,6/1/13,34.07051479,"[700.0, 800.0)","(0.0, 85.0]"
21465275,6/1/10,9/3/10,,,3/23/11,3/14/11,MZHGDA,Safe Credit Union,1421995539,CA,No,No,5/15/09,153000,764,85,180000,168000,,,X,B,Credit Unions,Steve Winston,10/12/10,4,SEMT 2012-5,6/1/13,48.55951868,"[700.0, 800.0)","(0.0, 85.0]"
21601178,12/10/12,12/11/12,12/27/12,1/8/13,,1/29/13,YWNVXS,Associated Mortgage Bankers Inc,603386046,CO,No,No,9/13/12,340000,764,85,400000,404000,,,R,B,Mortgage Banker - Bank Owned,Steve Winston,1/24/13,4,WFMBS 2006-5,6/1/13,8.575124746,"[700.0, 800.0)","(0.0, 85.0]"
31181415,1/11/13,1/16/13,,1/29/13,,,IFPCEX,The Bank of South Carolina,6850439821,SC,No,No,11/2/12,277519,764,85.77999878,320000,,,,R,B,Community Banks,,,,WFMBS 2006-AR4,6/1/13,6.932380542,"[700.0, 800.0)","(85.0, 90.0]"
31424939,6/1/10,6/1/10,,,,2/4/11,BQOFUZ,Security Service Federal Credit Union,204814747,TX,No,No,7/3/09,276155,764,86.30000305,320000,,,,R,B,Credit Unions,Allie Martin,7/6/10,4,SEMT 2012-5,6/1/13,46.94962936,"[700.0, 800.0)","(85.0, 90.0]"
32462523,6/1/10,6/29/10,,,,1/31/11,RNWCFR,Amarillo National Bank,8006043592,TX,No,No,1/19/10,137750,764,95,,,,,R,B,Community Banks,Steve Winston,6/29/10,4,WFMBS 2006-5,6/1/13,40.37865254,"[700.0, 800.0)","(90.0, 95.0]"
29361047,9/21/11,10/6/11,,10/31/11,,11/17/11,CQJIQN,Glacier Bancorp Inc,1792284579,MT,No,No,4/13/11,182020,764,95,200000,,,,P,B,Community Banks,Mike Willams,11/17/11,4,SEMT 2012-5,6/1/13,25.62680959,"[700.0, 800.0)","(90.0, 95.0]"
